theme,variant,goemotions_id,text,emotion_labels,word_count,selected
anhedonia,flatness,eddi3zv,Haha yeah. Are the squat toilets that prevalent? I’m hoping to avoid them when I go.,"amusement, optimism",16,
anhedonia,flatness,eday23l,The titles of her posts are somewhat dramatic and I have avoided her because of that,annoyance,16,
anhedonia,flatness,eev42fc,That's me too! I even try to avoid trailers since they reveal too much these days.,neutral,16,
anhedonia,flatness,eem2vx9,I get ya. If thinness was something I could buy I'd be flat broke by now,neutral,16,
anhedonia,flatness,edy2pau,I actually choose to teach an extra class so I can avoid lunch duty. I hate it.,annoyance,17,
anhedonia,flatness,ed9rdyz,i didn't knew your toe can get that flat without breaking the nail in thousand of pieces,"realization, surprise",17,
anhedonia,flatness,ee8e8w9,Well yeah! Doesn't everyone? I'm in the one about ED. I guess I'm a natural deflator. 🤷,"approval, curiosity",17,
anhedonia,flatness,eeq0duv,"i wouldn't call that passive aggressive at this point, it's flat out aggressive and i love it.",love,17,
anhedonia,flatness,edff0vj,Everyone’s ageing on here like the milk my flatmate left on the kitchen counter over the holidays,annoyance,17,
anhedonia,flatness,ed7ue4k,Probably fake. In most situations Siri will tend to avoid words like penis and hope you're saying pianist,optimism,18,
anhedonia,flatness,eeruo1g,"Agree, I avoid of the ones that do, pre-ordering any AAA is a no no now as well.",approval,18,
anhedonia,flatness,ed1fe2y,Ahhh I misread your comment as “If I noticed a car on a flat bed with no straps.”,realization,18,
anhedonia,flatness,edknclh,"I'm not conflating anything, I'm describing my experience. I'm curious, where are you from? I'm in the rural south. ",curiosity,19,
anhedonia,flatness,edvu061,yeah I can see myself in that too. I lost all feeling for responsibilty. except for going to work.,realization,19,
anhedonia,flatness,efdn4mr,I picked up smoking again thinking it would aid that void that is working. It just made it worse.,"approval, disappointment, disgust",19,
anhedonia,flatness,efge1j6,"I was actually looking in to this game, glad they did this now so I can avoid it, yeesh",joy,19,
anhedonia,flatness,edpx03t,"I don't think abortion is murder, but it's factually way less easy to disprove than the earth being flat.",neutral,19,
anhedonia,flatness,eeev1qc,"The correct response for OP: ""In that case... Would you like to watch a porno on my flat screen mirror?""",neutral,20,
anhedonia,flatness,ef2m3xd,"Oh joy, now my life is complete 🙄 Anything that ends in an -asm should be avoided like the plague. ","approval, realization",20,
anhedonia,flatness,efd3s59,"If that were my car the spare would be flat too, so at least you've got that going for ya.",optimism,20,
anhedonia,flatness,edutynf,"> I cannot fathom what he gets out of it. The privilege of avoiding any and all self-reflection, I guess.",neutral,20,
anhedonia,flatness,edx3pze,"Yay, coming out is hard, you're lucky that they didnt avoid you for the next month, I'm happy for you","caring, joy, relief",20,
anhedonia,flatness,edlsw9l,Well it does appear to be a gold/bronze Cadillac. And I think I see a flat bill in the front seat.,neutral,21,
anhedonia,flatness,edsdpwv,"What makes BDS anti-Semitic, as opposed to just anti-Israel? I see the two frequently conflated, which I think is a mistake.",disapproval,21,
anhedonia,flatness,ee34hb1,That's still crazy to me as it's the same price online and in store here. We just have a flat rate.,excitement,21,
anhedonia,flatness,eee24os,"I feel like he would be most people in a flat out race, those prosthetics look beastly (in the good way).",admiration,21,
anhedonia,flatness,edwevzu,"I suppose when discussing socialism one ought to avoid the use of the word prosperity, it does become a touch embarrassing. ","embarrassment, neutral",21,
anhedonia,flatness,edf9x88,"Death treats are for immature people, I'm sorry you received them. Comparing you to flat earthers is not far off though.",sadness,21,
anhedonia,flatness,eep0avf,I've debated shaving my head just to avoid this. My haircuts often get stretched several extra weeks because i'm dreading it.,neutral,21,
anhedonia,flatness,ef1b5sp,"I mean, they did just that in Djibouti I believe, and Sri Lanka before. Hopefully Kenya can avoid the debt trap",optimism,21,
anhedonia,flatness,ee80qmh,Now watch this place decend into the same voidless pits that r/soccer belongs to Bring on the half n half OF scarfs,neutral,22,
anhedonia,flatness,ef47czr,"Haha it could be! As much as I love supporting small, local grocers they tend to inflate the price on specialty products. ",neutral,22,
anhedonia,flatness,eeo4i7n,"Ha! Thanks - that's very flattering. For my part, FWIW, I always encourage folks to donate to their local farm sanctuary. ^**=o)**",gratitude,22,
anhedonia,flatness,eeaxxk6,"At first your post reads like some anti-vax, flat earth rant containing too many capitalised words... until you realise it's all true.",realization,22,
anhedonia,flatness,eeosw94,I actually find it easier to place spawn beacons in stupid spots like this than a nice flat empty piece of ground.,"approval, neutral",22,
anhedonia,flatness,ee6c630,I don't feel alive anymore. I don't feel anything. I'm just numb all over. All I know is I want it to stop,sadness,23,
anhedonia,flatness,edipgd9,"I agree. She's a terrible model. I tried to get on board with her, but all her editorials in Vogue were so flat. ",approval,23,
anhedonia,flatness,edi86iy,Honestly his post was a little sad. The fact that it got upvotes makes me want to avoid this sub over the summer.,sadness,23,
anhedonia,flatness,ee6shux,This really bothers me too. I completely agree. It would have helped us avoid a US situation. Now I think we're barreling toward it,approval,24,
anhedonia,flatness,ed98s5i,Avoid. Without a contract he can kick you out at short notice any time And when you pay a deposit make sure it's protected.,caring,24,
anhedonia,flatness,edz1tbe,Thanks!! Been avoiding this but I literally am in that area for the Elk pelt so I better put my emotions in a case,gratitude,24,
anhedonia,flatness,eds6o2p,I was just a little disappointed that there is no audible/visible reaction by the character when visiting the graves (also trying to avoid spoilers).,disappointment,24,
anhedonia,flatness,eey8drd,"You're right, I was just trying to avoid getting too specific, as all financial advise will vary based on OP's financial situation and needs.",approval,24,
anhedonia,flatness,ee3q2de,I just see two inflated peacocks with a dumb and disgusting look in their face. But unfortunately I am not the gender evaluating them.,neutral,24,
anhedonia,flatness,eecyjeb,"No, I have been avoiding doing anything until it's actually fixed because I don't want to give them any reason to drag their feet.",disapproval,24,
anhedonia,flatness,ee35rfv,Omg that’s a perfect idea! I obviously want to avoid the stalker thing but I do love basketball and understand it so this seems possible,admiration,25,
anhedonia,flatness,eewuuyo,Facebook is currently under fire for allegedly inflating their user base statistics by up to 50%. I'm not surprised they are having issues tracking money.,realization,25,
anhedonia,flatness,eeqe7ff,Some guys are gonna get their hopes up if you are at all young *or* pretty. You may attract less attention if you can avoid moving.,neutral,26,
anhedonia,flatness,ees0xpj,i didnt realize i was avoiding a question. i am afraid to talk to cops to be honest. even my own mother doesnt know what i saw,fear,27,
anhedonia,flatness,ee2mwdt,"The last hour is great, but I would definitely say to at least leave 15 minutes before close so you can avoid the crowds in the street.",admiration,27,
anhedonia,flatness,eeqstmt,Is it that common? Here on the tube on London there is barely room to breathe let alone spin so I guess we avoid this kind of crap,curiosity,28,
guilt_shame,burden,edzaf2c,I think my mom is similar but I feel like I make things worse by trying to explain myself.,realization,19,
guilt_shame,burden,edddal4,Oh and I forgot to add: he doesn't take your money and become a financial burden on your life,neutral,19,
guilt_shame,burden,ee2ojgg,"Oh no. Your poor friend, I hope she can move past it someday. That has to be such a hard burden to carry.","optimism, sadness",23,
guilt_shame,burden,ed51mpv,sounds so good bro! but in my case i’m already out so it feels like it would be a burden to re-coming out... TvT,"admiration, disappointment",24,
relationship_distress,enmeshment,ef5cjgx,This hit me a little too close to home,neutral,9,
relationship_distress,enmeshment,edk00ri,>they're a moron because everything I do is crap. Haha gottem,neutral,11,
relationship_distress,enmeshment,edxj6ff,"Not only that, the ""improved controls"" aren't a thing at all. I'm not re-buying Blood Money for nicer graphics. ",disapproval,19,
relationship_distress,enmeshment,ef02ir1,"the game certainly feels unfinished, at least on PC. some horrible mouse controls, using a controller is almost necessary.",annoyance,19,
relationship_distress,enmeshment,ef87otb,"Thanks a ton again, and honeslty haha im so ready to get out and have my own life for once",gratitude,20,
relationship_distress,enmeshment,ed1zmlt,"I had a monster panic attack myself--and also managed not to go clingy with it. I guess I should be proud, too!",pride,22,
relationship_distress,enmeshment,eepufoz,No idea at this point... found in the garage from my wife's residency many years ago... (she won't let me say HOW many years),neutral,24,
relationship_distress,enmeshment,edx2c5f,"Bro, too close to home. Thing is I wish I could just chill where this monk is at, with a lot of open space.",desire,24,
relationship_distress,enmeshment,efg17um,I'm sorry you felt alone. It's a terrible suffocating feeling of dread. I hope you are feeling better and that you are in good health,"optimism, remorse",25,
relationship_distress,enmeshment,eeascnr,TIL when your fiancee steals 500 from you to buy products that harm you physically by being in the home due to allergic reaction you're controlling her.,neutral,27,
relationship_distress,enmeshment,ed6g66v,Someone tell me why they are out passing us they taking the game to us when we should be controlling the tempo of the ball to keep the lead.,anger,29,
