theme,goemotions_id,text,emotion_labels,word_count,selected,variant_match
low_self_worth,ee8xbjc,I feel uncomfortable how we didn’t see him resurface...,embarrassment,9,,
low_self_worth,ef1mkdb,"Ouch, my heart. I never even thought about this...",disappointment,9,,
low_self_worth,ee9y4bk,I don't know why this image bothers me so much,"confusion, disappointment",10,,
low_self_worth,edqoxjn,Seconded. 8 years and I never reached the final castle.,disappointment,10,,
low_self_worth,edgmjq2,I feel the same at 5 feet 9. Feels bad,"disappointment, sadness",10,,
low_self_worth,edmkpld,I'm ashamed it took me a while to get it,embarrassment,10,,
low_self_worth,eewcihm,Learning to read was the worst mistake of my life,disappointment,10,,
low_self_worth,edt8m9r,Unfortunately no one usually fights for their rights without a martyr,disappointment,11,,
low_self_worth,edts81m,The secondhand panic and embarrassment I feel from this is astounding,"embarrassment, fear",11,,
low_self_worth,edxmmju,Completely miss-wired! I never thought a kid can grow up miss-wired.,"disappointment, disapproval, realization",11,,
low_self_worth,eeew3h1,"Oh god dammit I've been bamboozled, I fell for the b8","annoyance, disappointment",11,,
low_self_worth,ee4tgim,i got a bump and a bald spot. i feel dumb <3,embarrassment,12,,
low_self_worth,ee43lz5,I've been playing this game since release and didn't even know that!,embarrassment,12,,
low_self_worth,edjnxmq,I feel you. I hate needles and i'm a type 1 diabetic,"anger, disappointment",12,,
low_self_worth,ee7fyqh,In the time I've been seeing this he has already lost 3,"disappointment, realization",12,,
low_self_worth,ef66bk8,Now there is no one face to face so tough is an option,"disappointment, neutral",13,,
low_self_worth,eczb770,Just life.. I feel like i'm just a parasite that should be removed.,"embarrassment, sadness",13,,
low_self_worth,ef0qawv,It’s nice to know that no one cares enough to send me either.,disappointment,13,,
low_self_worth,ee3vb4o,Yeah i don't want them to know to early it ruins the fun.,disappointment,13,,
low_self_worth,edrbh48,I’m disappointed that no one has suggested taking her up Oxo Tower yet.,disappointment,13,,
low_self_worth,efgcb3m,What a cringeworthy load of kak this is. Wow I have no words.,"embarrassment, surprise",13,,
low_self_worth,ee8ywav,I'm just an idiot on the internet. I don't know a doggam thing.,"annoyance, disappointment, embarrassment",13,,
low_self_worth,ef49a7u,"I don't just cringe, I feel literal embarrassment for anyone who has watched it.",embarrassment,14,,
low_self_worth,edogked,"It didn't take me any longer than the first, and I feel uncomfortable now","annoyance, disappointment",14,,
low_self_worth,eddbq6e,i don't really feel comfortable posting there. i dont really have much reason to,embarrassment,14,,
low_self_worth,eemqrsa,"Instagram literally fueles my eating disorder, I can't have it. It is all fake though",disappointment,15,,
low_self_worth,edl2fhv,I don’t know man I feel like this goal is just a combination of unluckiness,"disappointment, sadness",15,,
low_self_worth,edo22vr,"> Literally no one cares if you stay or go, Funny you should say that...","amusement, disappointment",15,,
low_self_worth,ee8856n,"That's the best part, I can't even imagine to live forever with my shitty body",disappointment,15,,
low_self_worth,eewdegb,True. You always gotta be careful. It's pretty sad actually. I feel used and abused.,disappointment,15,,
low_self_worth,ef6lf2z,"I never read it, but I sure remember being creeped out by this claymation version",disappointment,15,,
low_self_worth,efavxb2,My imaginary friend is always busy. I never get to do anything with him eigher :(,disappointment,16,,
low_self_worth,edcf1nx,"I'm always stuck in platinum because every match is a loss, no healer what so ever",disappointment,16,,
low_self_worth,edr8anc,I was born in ‘98 so I feel like your ‘98 loss is my ‘09 loss.,"approval, disappointment",16,,
low_self_worth,eel5s8k,All these soldiers taking a load of their feet... I feel ashamed for my homeland !!,embarrassment,16,,
low_self_worth,eduhv7n,I really need to stop taking my guns fishing with me. I keep losing them!!! :(,disappointment,16,,
low_self_worth,eentofs,For 3 months so far. I’m not sure because I never had any successful withdrawals yet.,"confusion, disappointment",16,,
low_self_worth,eeboius,That comment reads like something out of a circlejerk sub. I can't believe it was said unironically,"disappointment, disapproval",17,,
low_self_worth,edq8m9e,Now I feel like an idiot calling it a beamer for the 15 years I played baseball.,embarrassment,17,,
low_self_worth,ef8cruk,I want to make friends too :( but I feel like I have nothing good to offer,disappointment,17,,
low_self_worth,efar486,I don't have children yet so I will just have a long conversation with my balls tonight,"disappointment, sadness",17,,
low_self_worth,eemqyvy,I feel like I lost focus... I have not accomplished anything and the clock isn't really stopping,disappointment,17,,
low_self_worth,eczx4ck,"I don't know what's more embarrassing, the fact I watch the show or own a Roku TV.",embarrassment,17,,
low_self_worth,edow6dx,"I've spent too much of my life being angry at the Jets, just gotta roll with it now.","disappointment, optimism",18,,
low_self_worth,ee5gw3l,"I can't see a way forward, neither the government or the opposition wants no-deal or to cancel A50. ","disappointment, disapproval",18,,
low_self_worth,eee4s5s,"I feel bad for them now, but if they ever get good I’ll hate them like the rest. ",disappointment,18,,
low_self_worth,een6l21,Uhhh... unfortunately I can't read the article due to some regulations...but pretty sure that post is just the article,"disappointment, neutral",19,,
low_self_worth,ef5csla,Is it wrong that I've been really disappointed that I haven't gotten to try out my new snowblower? :-/,disappointment,19,,
low_self_worth,ef9v6uv,I feel left out... I never get invited to our new world order meetings with our elders of zion,"disappointment, sadness",19,,
low_self_worth,eeqaf3r,"I often send my female friends Love poems. Oh wait, no, no I don't, because that is super weird. ",embarrassment,19,,
low_self_worth,efg6uzp,"I'm tall but no one is attracted to me, because I'm ugly, I have a big nose and ears.",embarrassment,19,,
low_self_worth,ee3fg2v,Does anyone here think this will actually turn the Jet's around? I feel like this is the worst shit ever.,"annoyance, disappointment",20,,
low_self_worth,eevkcjv,I'll give you that. Society is generally in a decline. I don't date men so I can't speak to that.,disappointment,20,,
low_self_worth,edwdtph,muh racist history! its all gone! no one will ever know about my slavery and being a traitorous vermin! help meh!,"disappointment, sadness",21,,
low_self_worth,ed4r7gd,I feel so bad anytime I see anyone fall on their face... I just want to make sure they are ok.,"caring, disappointment, sadness",21,,
low_self_worth,eekoc1c,"That sounds really agonising, to ask for help and have no one hear you. What's going on for you right now?","curiosity, disappointment",21,,
low_self_worth,efbsy8v,That convention center sized groan right after the reveal.... No one wanted this. I have no idea what they were thinking.,"confusion, disappointment",21,,
low_self_worth,ee0rjau,I didn't see it either! I feel like the kid at the birthday party that didn't get a piece of cake...,disappointment,21,,
low_self_worth,eet41r2,Don’t let the bastards grind you down. I’m so sorry for this experience. No one deserves to be treated that way.,"caring, disappointment",21,,
low_self_worth,eeljmuc,Ugh foot rubs. I feel embarrassed thinking about how my nmom used to make me do this to her. Ugh ugh ugh,embarrassment,22,,
low_self_worth,ed7hjbe,I'm ashamed that while trying to figure out what TKE stands for all I can come up with is Tau Kappa Epsilon.,embarrassment,22,,
low_self_worth,edyqbyd,I saw 25yr old with 3 kids and a house. How do u think I feel. I'm over 30 and still single.,"disappointment, sadness",22,,
low_self_worth,edn6n9q,"I feel I should do this even after living here for 7 years, I've barely done any touristy things! Shame on me.",embarrassment,22,,
low_self_worth,eezkoeb,You are entitled to live your life the way you want to. I never said you weren't. You really are just disappointing.,disappointment,22,,
low_self_worth,edaa1n4,Being in a 3 person friend group fucking sucks sometimes m8 I feel like the least loved a lot of the time,"disappointment, sadness",22,,
low_self_worth,ed2v6t1,I feel that nobody cares and nothing will be different because this is a total non issue for vast majority of people.,"disappointment, sadness",22,,
low_self_worth,ef8a105,"yup today hit me extra hard since im unemployed. i feel like im not meant to work, or meant to do anything really!",disappointment,23,,
low_self_worth,ef3e1sc,Realize that no girl is perfect for you if you're not perfect for her. I feel for your disappointment tho. Keep on truckin'.,disappointment,23,,
low_self_worth,eekoug8,"For some reason I wanted to be a bartender when I was 8. After hearing this story, makes me feel I missed out. ","disappointment, sadness",23,,
low_self_worth,edo6c7r,I got offered a couple of batches. They weren't 100% terrible but I feel like they could've been better so I didn't take them.,"disappointment, disapproval",24,,
low_self_worth,edg4oqx,I dont know this one (new or yet another alt) I can't take people seriously when they have a hidden agenda for these questions,"disappointment, neutral",24,,
low_self_worth,eeicggm,"Measuring my life in semesters filled with classes that are entirely worthless but I need a $60,000 piece of paper to get a job ",disappointment,24,,
low_self_worth,eeqe6ci,I do but no one wants to play with me I at least try to play by my self but it gets really boring.,"disappointment, sadness",24,,
low_self_worth,ee7z8l4,I feel like this happens to me every single time I shop there. I dont go in anymore because I'm tired of being followed.,"annoyance, disappointment",24,,
low_self_worth,edrnbww,Rightfully so. I had it as a child and it was the worst experience in my life. I'm also vulnerable for shingles now. Yaaay.,disappointment,24,,
low_self_worth,ednh4vs,"I don't drink I don't smoke I don't do drugs and yet still am not ""happy rich and all that people say this brings""",disappointment,24,,
low_self_worth,efdwdnh,"Bump stocks too I guess, I can't imagine why he actually did that though, perhaps his advisors told him to do it to pander",disappointment,24,,
low_self_worth,edd8xuy,I just never felt like a boy. I hate my body and I just feel like I can't express myself for who I am.,"anger, embarrassment",24,,
low_self_worth,edfiobs,Monster hunter world is making me desperately want to stay up all night and play it. But I can't make it past 11pm anymore 😫,"desire, disappointment",25,,
low_self_worth,ef5rmcx,It's a shame that anyone has to deal with that sort of feeling. I'm sorry that you had a similar experience. No one deserves that.,"embarrassment, remorse",25,,
low_self_worth,edykgib,"I'd just feel less out of place, I guess. My SA makes me feel like I'm so behind my peers in terms of a social life",disappointment,26,,
low_self_worth,edutero,YES! I can't recommend this TED Talk enough and I think it's really disappointing that many portions of the left have caved in to anti-nuclear hysteria.,"annoyance, disappointment",26,,
low_self_worth,ef1uq8d,I don't know why but every time I see a meme telling me how good I am it doesn't do anything and doesn't make me happy,disappointment,26,,
low_self_worth,ee1uit6,I actually did have a girl a few towns away in a different school and no one knew her. No one believed me at first :(,disappointment,26,,
low_self_worth,eewfryk,What dose are you taking and how long did it take to help? I've been trying the Lazarus 50mg/ml. Not seeing any obvious improvement so far.,disappointment,26,,
low_self_worth,ee4v8v6,Honestly i have no clue. Just got my feelings hurt by the mean things he was saying to nurk and wanted to cyberbully him in response,disappointment,26,,
relationship_distress,ed122p6,I feel digestive regret just looking at them.,"disappointment, remorse, sadness",8,,
relationship_distress,eers4o4,I don't like sleeping in the couch :(,"disappointment, sadness",8,,
relationship_distress,edcyk7e,Ay just like my life *whips whilst sobbing,"sadness, neutral",8,,
relationship_distress,eet82j6,It's a prime-time soap. I feel so guilty.,"disappointment, sadness",8,,
relationship_distress,ed8xlrr,Very sad. It’s the child I feel for most.,sadness,9,,
relationship_distress,edfz3je,Honestly? No. I just feel sad for you guys,"curiosity, sadness",9,,
relationship_distress,eeu5xfv,"I feel bad for her, talk to her :(","caring, sadness",9,,
relationship_distress,edgmjq2,I feel the same at 5 feet 9. Feels bad,"disappointment, sadness",10,,
relationship_distress,eexo4w2,Imagine thinking like this. I feel kinda bad for them.,sadness,10,,
relationship_distress,eeymd6e,sorry. I don't want to put words in your mouth.,sadness,10,,
relationship_distress,eemi335,i'm so poor i don't even know any horse girls,sadness,10,,
relationship_distress,edsg5t7,I just want to die. I don't want to keep trying.,sadness,11,,
relationship_distress,ee80lw0,"No one to blame here, bad luck is what it is.",sadness,11,,
relationship_distress,efdw8ue,I feel sorry for her son that must have been super cringe,sadness,12,,
relationship_distress,ef4e3zp,"Oh wow, I feel bad for the parents, they had no idea",sadness,12,,
relationship_distress,edull4a,"As much as I'd love to say it's mine, sadly I can't","love, sadness",12,,
relationship_distress,eegbfvn,"No, they couldn’t hav- They shouldn’t have. uh...this makes me feel sick 🤕 ",sadness,13,,
relationship_distress,eczb770,Just life.. I feel like i'm just a parasite that should be removed.,"embarrassment, sadness",13,,
relationship_distress,ee68gqt,"I feel bad for house slaves, even if it's in their understandable self-interest. ",sadness,13,,
relationship_distress,eevep1z,A lack of the romantic partner is the stressful situation in my life.,sadness,13,,
relationship_distress,edn9jg8,"I'm crying right now, I don't know why. Doesn't even make me feel anything. ","confusion, sadness",14,,
relationship_distress,eeq0z98,... and no one seemed to care Except that lonely woman with white hair,sadness,14,,
relationship_distress,ee7y76h,This is awful and borderline abuse. I can't imagine thinking that's even slightly okay,sadness,14,,
relationship_distress,ef77lde,"That's really sad to hear, I can't imagine. I'm wishing the best for you","caring, sadness",14,,
relationship_distress,edwr3cq,In my few years playing I never knew this ... I feel so lost now,sadness,15,,
relationship_distress,edl2fhv,I don’t know man I feel like this goal is just a combination of unluckiness,"disappointment, sadness",15,,
relationship_distress,edv1tfy,Well this all started Wednesday. But I’ve been unhappy with my life for weeks now,sadness,15,,
relationship_distress,edr2fw0,I BELIEVE! I am sad that likely no one else will see it besides me...,sadness,15,,
relationship_distress,edel5ab,Man being unattractive in appearance has pretty much taken any joy out of my life,sadness,15,,
relationship_distress,eegviob,Because I want to be with someone but no one wants to be with me.,sadness,15,,
relationship_distress,eczhvrq,I feel sorry for him. He gotta be an awkward guy who has no friends.,sadness,15,,
relationship_distress,efew9l1,So many of Pokimane’s fans are creepy 30+ year olds. I feel so bad for her.,sadness,16,,
relationship_distress,eene6x8,"Sadly, I don't have insurance so unless I'm bleeding out I won't be getting medical help.","fear, sadness",16,,
relationship_distress,eevxt4y,I feel bad for these guys. I'd like to be able to help ex-mos in trouble.,sadness,16,,
relationship_distress,ee07c4c,"I worry about throwing draft picks around, but a guy like that is worth it IMO.",sadness,16,,
relationship_distress,ees0cj0,Going through the same thing and I feel the same way. Sadness. I hope it'll pass!,sadness,16,,
relationship_distress,edgtbql,"I feel personally attacked. Every time one little thing happens, part of me just collapses inside.",sadness,16,,
relationship_distress,edfofyb,"I actually rooted for you guys that Seahawks game, but now I feel the true pain. ",sadness,16,,
relationship_distress,edqp31f,Oh man I feel bad now. If you find it funny than it's funny 💖 sorry,sadness,16,,
relationship_distress,ef9grtq,I never used the word mean. Chill. I said weak and it is. Its sad aswell.,sadness,16,,
relationship_distress,ed96hfp,Sorry I failed to mention I'm relatively new to the scene . Last 2 years only,sadness,16,,
relationship_distress,ed5429y,If you really think a horror movie needs jump scares then I feel bad for you son.,sadness,17,,
relationship_distress,edfm4j7,"Dude I don’t even know what that guys deal is, but honestly, I feel bad for him",sadness,17,,
relationship_distress,efar486,I don't have children yet so I will just have a long conversation with my balls tonight,"disappointment, sadness",17,,
relationship_distress,ed11pxw,"Me too, I've heard before that I'm too blunt and I feel bad about it at times","approval, sadness",17,,
relationship_distress,edgcyz2,Sadly I don't think even half the people who watched the game are gonna hear about that.,sadness,17,,
relationship_distress,eeej0jc,can I use I can't believe it's not butter because my boyfie doesn't make over 20k :(,sadness,17,,
relationship_distress,eengbtw,I feel genuine sorrow for your family having to be associated with a cretin such as yourself,"grief, sadness",17,,
relationship_distress,edtq4w8,"I know you can’t read this, but I feel really bad and hope you learn to read soon ",sadness,18,,
relationship_distress,eduz4po,I feel horrible for the government workers caught in the middle of this. I hope it ends soon.,"fear, optimism, sadness",18,,
relationship_distress,edfe1cj,I feel bad for laughing at this now that the creator of Spongebob passed away a month ago.,sadness,18,,
relationship_distress,efh3pqe,I feel terrible for their daughter. I wouldnt want to grow up in between the middle of that.,sadness,18,,
relationship_distress,edly87w,I feel your pain. Sitting here wallowing in self pity and anger at how I let myself go!,"anger, sadness",18,,
relationship_distress,eelf9bs,I actually want to die rn. I don't want to watch the SB but I know I'm going to.,sadness,19,,
relationship_distress,ef9v6uv,I feel left out... I never get invited to our new world order meetings with our elders of zion,"disappointment, sadness",19,,
relationship_distress,ef7l80d,Yes no one wants to believe my religion and how to make people happy so it makes me sad,sadness,19,,
relationship_distress,ef4b8oj,For sure...sometimes I feel like I will just evaporate into nothingness as the stranger in the mirror looks on.,sadness,19,,
relationship_distress,ef7sdf8,"It's not like the picture looks bad. Wait, no, I take that back immediately. I can't unsee it now too.",sadness,20,,
relationship_distress,edzsf1m,"Sadly, I don't even think its that the Chargers aren't prepared its that the Patriots are good at game prep.",sadness,20,,
relationship_distress,ed3lkc6,I feel this but I also sympathize with mentalcels because I’m mentally ill and it makes me feel even worse.,sadness,20,,
relationship_distress,eduqpn7,"I can't pluck it, hurts too much. So every few days I shave a strand of hair on my chin.",sadness,20,,
relationship_distress,eei097w,I feel your pain 😪 i got scammed $1400 in November. I felt like a dumbass for falling for it too.,sadness,21,,
relationship_distress,edwdtph,muh racist history! its all gone! no one will ever know about my slavery and being a traitorous vermin! help meh!,"disappointment, sadness",21,,
relationship_distress,ed4r7gd,I feel so bad anytime I see anyone fall on their face... I just want to make sure they are ok.,"caring, disappointment, sadness",21,,
relationship_distress,ef94xp0,I'm glad you found your way. And even missing one day of effexor gets me sick so I feel for you,"joy, sadness",21,,
relationship_distress,edyqbyd,I saw 25yr old with 3 kids and a house. How do u think I feel. I'm over 30 and still single.,"disappointment, sadness",22,,
relationship_distress,ed1rofo,It is sad they didn't have a 4k highspeed camera running on this... I feel like the world lost an amazing possibility,sadness,22,,
relationship_distress,ef852by,Ugh I am in this same place right now. Dating a husband whose wife calls all the shots. I feel for you.,sadness,22,,
relationship_distress,ed6piv1,We are very clumsy creatures. Eventually you just learn to laugh it off. *The crying comes later when no one is around*,sadness,22,,
relationship_distress,edaa1n4,Being in a 3 person friend group fucking sucks sometimes m8 I feel like the least loved a lot of the time,"disappointment, sadness",22,,
relationship_distress,eet2tg1,I’m sorry about your pup. At least between the two of them she won’t be neglected? I just feel badly for you.,"remorse, sadness",22,,
relationship_distress,ed2v6t1,I feel that nobody cares and nothing will be different because this is a total non issue for vast majority of people.,"disappointment, sadness",22,,
relationship_distress,ee6c630,I don't feel alive anymore. I don't feel anything. I'm just numb all over. All I know is I want it to stop,sadness,23,,
relationship_distress,eelfo90,Was at the game yesterday and at the game now. It's a miserable gong show. Why do I keep doing this to myself?,"annoyance, confusion, sadness",23,,
relationship_distress,effmsje,I feel a little sad for her. That she thinks the only options or something to do is having kids. Fuck her tho.,sadness,23,,
relationship_distress,eekoug8,"For some reason I wanted to be a bartender when I was 8. After hearing this story, makes me feel I missed out. ","disappointment, sadness",23,,
relationship_distress,eeohvuu,Scars do not fade after 2 weeks. Its gonna take a few months. I've got some nasty scars too girl I feel your pain,"caring, sadness",24,,
relationship_distress,eeqe6ci,I do but no one wants to play with me I at least try to play by my self but it gets really boring.,"disappointment, sadness",24,,
relationship_distress,ednpq6p,I feel his pain. Bad dxm trips are the most terrifying thing in the moment but they're way more forgiving than bad psych trips,sadness,24,,
relationship_distress,eeipniz,I never understood the real harm until I started reading about childhood emotional neglect and how much it affected me. It's very common with nParents.,"sadness, neutral",25,,
relationship_distress,eef5xa3,"You know I never thought I'd celebrate someone's death, but once she goes I'm going to have to try very hard to not enjoy it...",sadness,25,,
relationship_distress,edbyls6,"I might be alone here, but it was probably Blame Game. I don't think I heard a rap song with that much emotional intensity before.",sadness,25,,
relationship_distress,efe03ty,Im definitely gonna check the bushes around the burn where everyone throws their targets from now on. Im not over it i feel bad man.,"anger, sadness",25,,
relationship_distress,ef7lwbu,I feel like this anime will make me cry in the end. Damn even its opening is full of drama. Am I correct in this?,sadness,25,,
relationship_distress,eelkqop,yeah. it's like you know something real bad is gonna happen at any time. that's why I never try to get my hopes up too much.,sadness,26,,
relationship_distress,eds9xsf,I can't remember a time during my early childhood where I didn't dress up like my mom and almost break my little ankles in her heels,sadness,26,,
relationship_distress,eeuq8u4,I feel a tad lost without it now that my drive for football has vanished and basketball and hockey simmer one. The show's every night after all.,sadness,27,,
work_burnout,ed122p6,I feel digestive regret just looking at them.,"disappointment, remorse, sadness",8,,
work_burnout,eers4o4,I don't like sleeping in the couch :(,"disappointment, sadness",8,,
work_burnout,edg4bmm,"I just hate the ""I don't know"" people","anger, annoyance",8,,
work_burnout,efe2plx,"I can't do it anymore today, I'm out. ",disappointment,8,,
work_burnout,ef65oej,I'm with you - I feel no connection....,annoyance,8,,
work_burnout,eec2s0k,That's why I don't open Instagram that much,annoyance,8,,
work_burnout,edh84wb,"Ah the classic ""I don't deserve you"" argument.",annoyance,8,,
work_burnout,ee6cghe,"I told you, I don't like ethnic food!",annoyance,8,,
work_burnout,eet82j6,It's a prime-time soap. I feel so guilty.,"disappointment, sadness",8,,
work_burnout,ef1gsjr,2016 was also the worst year of my life,annoyance,9,,
work_burnout,eecqr4f,i feel like this isn't being talked about enough.,disappointment,9,,
work_burnout,ednqve1,No one does... that what makes it so provocative.,annoyance,9,,
work_burnout,eeub2jg,My son brings *homework* from kindergarten. I feel betrayed.,annoyance,9,,
work_burnout,eds9dho,But doing those things makes me feel so.... icky.,disappointment,9,,
work_burnout,eetonhn,"Teacher: Huh, I never though he'd really do that.",disappointment,9,,
work_burnout,ef1mkdb,"Ouch, my heart. I never even thought about this...",disappointment,9,,
work_burnout,ee9y4bk,I don't know why this image bothers me so much,"confusion, disappointment",10,,
work_burnout,edqoxjn,Seconded. 8 years and I never reached the final castle.,disappointment,10,,
work_burnout,edgmjq2,I feel the same at 5 feet 9. Feels bad,"disappointment, sadness",10,,
work_burnout,edzxmt4,"Sew up that cockholster son, no one gives a fuck.",annoyance,10,,
work_burnout,ed142ij,"You have too many knives, I don't trust you. Sociopath.","anger, annoyance",10,,
work_burnout,eeat82c,"Damn, I'd better avoid you then. I don't wanna die.","annoyance, disapproval",10,,
work_burnout,eewcihm,Learning to read was the worst mistake of my life,disappointment,10,,
work_burnout,ee3vlwa,They're wrong I don't like math and I'm still ugly,annoyance,10,,
work_burnout,efe8a9p,Trust me no one getting caught but this dumb MF,"annoyance, neutral",10,,
work_burnout,ednwvhe,Reason number 1523648856 PFF is trash no one should take seriously,annoyance,11,,
work_burnout,edt8m9r,Unfortunately no one usually fights for their rights without a martyr,disappointment,11,,
work_burnout,eecrvgz,damnit i've been enjoying the mutual pisstaking with my Swedish mate,annoyance,11,,
work_burnout,edxmmju,Completely miss-wired! I never thought a kid can grow up miss-wired.,"disappointment, disapproval, realization",11,,
work_burnout,eeew3h1,"Oh god dammit I've been bamboozled, I fell for the b8","annoyance, disappointment",11,,
work_burnout,eeo74b5,I've been twice and both locations had a serious bee problem.,annoyance,11,,
work_burnout,efdz522,Society sucks. I don't even consider myself a part of society.,annoyance,11,,
work_burnout,eeyw6e9,Directly tell me why you felt the need to threaten my life.,annoyance,12,,
work_burnout,edoeh1a,The most irrelevant comment award..... goes to..... no one else but you.,"annoyance, neutral",12,,
work_burnout,eew5ip4,That's not an actual thing you realise? No one is that stupid.,annoyance,12,,
work_burnout,eez9qla,"It says new, but I feel like they should call it 'used.'",annoyance,12,,
work_burnout,edjnxmq,I feel you. I hate needles and i'm a type 1 diabetic,"anger, disappointment",12,,
work_burnout,ee7fyqh,In the time I've been seeing this he has already lost 3,"disappointment, realization",12,,
work_burnout,ef66bk8,Now there is no one face to face so tough is an option,"disappointment, neutral",13,,
work_burnout,ef0qawv,It’s nice to know that no one cares enough to send me either.,disappointment,13,,
work_burnout,ee3vb4o,Yeah i don't want them to know to early it ruins the fun.,disappointment,13,,
work_burnout,edygatq,I can't even be mad that you scored a goal with your face.,annoyance,13,,
work_burnout,edrbh48,I’m disappointed that no one has suggested taking her up Oxo Tower yet.,disappointment,13,,
work_burnout,eepg5up,I feel like one day you're in for the shock of your life.,annoyance,13,,
work_burnout,eesdu31,Well that's because you're close-minded. But meh. I don't need your respect. ;),"annoyance, disapproval",13,,
work_burnout,edl0bh1,"You don't look at accidents on the road? Yeah, I don't believe you.",annoyance,13,,
work_burnout,ee8ywav,I'm just an idiot on the internet. I don't know a doggam thing.,"annoyance, disappointment, embarrassment",13,,
work_burnout,eexcxg1,> This isn't where I parked my car Seriously I can't find my car.,annoyance,14,,
work_burnout,eek1a78,also Appendix: i will explode whenever i feel like it to cause you pain,annoyance,14,,
work_burnout,eebf9m0,"Too lazy to type out ""him/her"" 3x. That and I don't give a fuck.",annoyance,14,,
work_burnout,eenuqmk,>I don't care either way. Good. Then stop making asinine comments on the matter.,annoyance,14,,
